,ftot
0,0.017152658662092625
1,0.017152658662092625
2,0.08576329331046312
3,0.017152658662092625
4,0.24013722126929674
5,0.5145797598627787
6,0.3602058319039452
7,0.3259005145797599
8,0.34305317324185247
9,0.3773584905660377
10,0.3259005145797599
11,0.4631217838765009
12,0.34305317324185247
13,0.34305317324185247
14,0.39451114922813035
15,0.3602058319039452
16,0.411663807890223
17,0.24013722126929674
18,0.30874785591766724
19,0.30874785591766724
20,0.39451114922813035
21,0.3773584905660377
22,0.3259005145797599
23,0.017152658662092625
24,0.017152658662092625
25,0.017152658662092625
26,0.051457975986277875
27,0.24013722126929674
28,0.017152658662092625
29,0.017152658662092625
30,0.0
31,0.017152658662092625
32,0.017152658662092625
33,0.017152658662092625
34,0.017152658662092625
35,0.017152658662092625
36,0.017152658662092625
37,0.017152658662092625
38,0.017152658662092625
39,0.017152658662092625
40,0.017152658662092625
41,0.017152658662092625
42,0.03430531732418525
43,0.03430531732418525
44,0.017152658662092625
45,0.03430531732418525
46,0.03430531732418525
47,0.017152658662092625
48,0.017152658662092625
49,0.0686106346483705
50,0.017152658662092625
51,0.017152658662092625
52,0.051457975986277875
53,0.03430531732418525
54,0.017152658662092625
55,0.03430531732418525
56,0.017152658662092625
57,0.017152658662092625
58,0.017152658662092625
59,0.03430531732418525
60,0.7890222984562607
61,0.08576329331046312
62,0.03430531732418525
63,0.08576329331046312
64,0.5831903945111493
65,0.08576329331046312
66,0.12006861063464837
67,0.29159519725557465
68,0.051457975986277875
69,0.03430531732418525
70,0.08576329331046312
71,0.051457975986277875
72,0.017152658662092625
73,0.0686106346483705
74,0.03430531732418525
75,0.017152658662092625
76,0.051457975986277875
77,0.017152658662092625
78,0.017152658662092625
79,0.017152658662092625
80,0.10291595197255575
81,0.017152658662092625
82,0.03430531732418525
83,0.017152658662092625
84,0.08576329331046312
85,0.051457975986277875
86,0.017152658662092625
87,0.8919382504288165
88,0.017152658662092625
89,0.017152658662092625
90,0.051457975986277875
91,0.08576329331046312
92,0.017152658662092625
93,0.017152658662092625
94,0.017152658662092625
95,0.137221269296741
96,0.08576329331046312
97,0.051457975986277875
98,0.0686106346483705
99,0.03430531732418525
100,0.017152658662092625
101,0.017152658662092625
102,0.24013722126929674
103,0.18867924528301885
104,0.017152658662092625
105,0.017152658662092625
106,0.03430531732418525
107,0.017152658662092625
108,0.017152658662092625
109,0.017152658662092625
110,0.10291595197255575
111,0.03430531732418525
112,0.08576329331046312
113,0.051457975986277875
114,0.03430531732418525
115,0.12006861063464837
116,0.0686106346483705
117,0.0
118,0.051457975986277875
119,0.017152658662092625
120,0.0
121,0.017152658662092625
122,0.051457975986277875
123,0.017152658662092625
124,0.03430531732418525
125,0.017152658662092625
126,0.017152658662092625
127,0.08576329331046312
128,0.017152658662092625
129,0.017152658662092625
130,0.12006861063464837
131,0.051457975986277875
132,0.10291595197255575
133,0.03430531732418525
134,0.0686106346483705
135,0.017152658662092625
136,0.10291595197255575
137,0.017152658662092625
138,0.017152658662092625
139,0.08576329331046312
140,0.051457975986277875
141,0.03430531732418525
142,0.017152658662092625
143,0.03430531732418525
144,0.017152658662092625
145,0.017152658662092625
146,0.03430531732418525
147,0.017152658662092625
148,0.15437392795883362
149,0.017152658662092625
150,0.03430531732418525
151,0.051457975986277875
152,0.08576329331046312
153,0.017152658662092625
154,0.10291595197255575
155,0.0686106346483705
156,0.017152658662092625
157,0.12006861063464837
158,0.08576329331046312
159,0.017152658662092625
160,0.12006861063464837
161,0.051457975986277875
162,0.051457975986277875
163,0.017152658662092625
164,0.017152658662092625
165,0.017152658662092625
166,0.051457975986277875
167,0.017152658662092625
168,0.017152658662092625
169,0.08576329331046312
170,0.24013722126929674
171,0.08576329331046312
172,0.051457975986277875
173,0.017152658662092625
174,0.0686106346483705
175,0.03430531732418525
176,0.017152658662092625
177,0.017152658662092625
178,0.03430531732418525
179,0.03430531732418525
180,0.017152658662092625
181,0.24013722126929674
182,0.0686106346483705
183,0.10291595197255575
184,0.08576329331046312
185,0.03430531732418525
186,0.0686106346483705
187,0.03430531732418525
188,0.017152658662092625
189,0.12006861063464837
190,0.017152658662092625
191,0.08576329331046312
192,0.017152658662092625
193,0.0686106346483705
194,0.017152658662092625
195,0.0686106346483705
196,0.017152658662092625
197,0.137221269296741
198,0.051457975986277875
199,0.10291595197255575
200,0.10291595197255575
201,0.017152658662092625
202,0.08576329331046312
203,0.017152658662092625
204,0.12006861063464837
205,0.017152658662092625
206,0.03430531732418525
207,0.0686106346483705
208,0.12006861063464837
209,0.051457975986277875
210,0.017152658662092625
211,0.017152658662092625
212,0.017152658662092625
213,0.03430531732418525
214,0.08576329331046312
215,0.017152658662092625
216,0.051457975986277875
217,0.274442538593482
218,0.03430531732418525
219,0.08576329331046312
220,0.017152658662092625
221,0.03430531732418525
222,0.0686106346483705
223,0.051457975986277875
224,0.017152658662092625
225,0.08576329331046312
226,0.08576329331046312
227,0.10291595197255575
228,0.17152658662092624
229,0.03430531732418525
230,0.051457975986277875
231,0.823327615780446
232,0.137221269296741
233,0.0686106346483705
234,0.051457975986277875
235,0.051457975986277875
236,0.051457975986277875
237,0.017152658662092625
238,0.017152658662092625
239,0.051457975986277875
240,0.0686106346483705
241,0.03430531732418525
242,0.017152658662092625
243,0.051457975986277875
244,0.03430531732418525
245,0.017152658662092625
246,0.137221269296741
247,0.137221269296741
248,0.03430531732418525
249,0.03430531732418525
250,0.017152658662092625
251,0.017152658662092625
252,0.0686106346483705
253,0.03430531732418525
254,0.0686106346483705
255,0.03430531732418525
256,0.03430531732418525
257,0.017152658662092625
258,0.12006861063464837
259,0.10291595197255575
260,0.017152658662092625
261,0.10291595197255575
262,0.0686106346483705
263,0.051457975986277875
264,0.051457975986277875
265,0.08576329331046312
266,0.051457975986277875
267,0.017152658662092625
268,0.051457975986277875
269,0.017152658662092625
270,0.03430531732418525
271,0.08576329331046312
272,0.03430531732418525
273,0.0686106346483705
274,0.017152658662092625
275,0.137221269296741
276,0.08576329331046312
277,0.017152658662092625
278,0.017152658662092625
279,0.051457975986277875
280,0.051457975986277875
281,0.12006861063464837
282,0.017152658662092625
283,0.051457975986277875
284,0.017152658662092625
285,0.017152658662092625
286,0.051457975986277875
287,0.017152658662092625
288,0.15437392795883362
289,0.0
290,0.03430531732418525
291,0.051457975986277875
292,0.017152658662092625
293,0.051457975986277875
294,0.017152658662092625
295,0.03430531732418525
296,0.03430531732418525
297,0.08576329331046312
298,0.03430531732418525
299,0.03430531732418525
300,0.017152658662092625
301,0.017152658662092625
302,0.017152658662092625
303,0.03430531732418525
304,0.017152658662092625
305,0.017152658662092625
306,0.03430531732418525
307,0.03430531732418525
308,0.051457975986277875
309,0.25728987993138935
310,0.017152658662092625
311,1.2521440823327614
312,0.08576329331046312
313,0.0686106346483705
314,0.10291595197255575
315,0.017152658662092625
316,0.15437392795883362
317,0.10291595197255575
318,0.08576329331046312
319,0.137221269296741
320,0.17152658662092624
321,0.03430531732418525
322,0.0686106346483705
323,0.0
324,0.137221269296741
325,0.24013722126929674
326,0.03430531732418525
327,0.10291595197255575
328,0.08576329331046312
329,0.17152658662092624
330,0.24013722126929674
331,0.03430531732418525
332,0.137221269296741
333,0.017152658662092625
334,0.0686106346483705
335,0.08576329331046312
336,0.051457975986277875
337,0.051457975986277875
338,0.10291595197255575
339,0.03430531732418525
340,0.12006861063464837
