,aboard,aboardpass,aboardcrew,fpass,fcrew,gnd,ftot
1527,0.5124223602484472,0.48859934853420195,0.4918032786885246,0.0,0.43478260869565216,0.0036363636363636364,0.03430531732418525
1528,0.24844720496894407,0.13029315960912052,1.3114754098360657,0.14285714285714285,1.7391304347826086,0.0,0.274442538593482
1529,0.09316770186335405,0.06514657980456026,0.3278688524590164,0.017857142857142856,0.21739130434782608,0.0,0.03430531732418525
1530,0.7298136645962733,0.6514657980456027,1.1475409836065573,0.23214285714285715,0.43478260869565216,0.0,0.25728987993138935
1531,0.07763975155279502,0.0,0.8196721311475409,0.0,0.6521739130434783,0.0,0.051457975986277875
1532,0.03105590062111801,0.0,0.3278688524590164,0.0,0.21739130434782608,0.0,0.017152658662092625
1533,0.5434782608695652,0.504885993485342,0.6557377049180328,0.26785714285714285,0.8695652173913043,0.0,0.3259005145797599
1534,1.0248447204968945,1.0260586319218241,0.4918032786885246,1.125,0.6521739130434783,0.0,1.1320754716981132
1535,0.4503105590062112,0.4071661237785016,0.6557377049180328,0.10714285714285715,0.21739130434782608,0.0,0.12006861063464837
1536,0.6832298136645963,0.6351791530944626,0.8196721311475409,0.6964285714285714,1.0869565217391304,0.0,0.7547169811320754
1537,0.21739130434782608,0.16286644951140067,0.6557377049180328,0.17857142857142855,0.8695652173913043,0.0,0.24013722126929674
1538,1.1490683229813663,1.1400651465798046,0.6557377049180328,0.48214285714285715,0.21739130434782608,0.0,0.48027444253859347
1539,0.17080745341614909,0.03257328990228013,1.4754098360655736,0.03571428571428571,1.7391304347826086,0.0,0.17152658662092624
1540,0.15527950310559005,0.0,1.6393442622950818,0.0,2.1739130434782608,0.0,0.17152658662092624
1541,0.09316770186335405,0.06514657980456026,0.3278688524590164,0.07142857142857142,0.43478260869565216,0.0,0.10291595197255575
1542,0.32608695652173914,0.26058631921824105,0.8196721311475409,0.2857142857142857,1.0869565217391304,0.0,0.3602058319039452
1543,0.03105590062111801,0.0,0.3278688524590164,0.0,0.43478260869565216,0.0,0.03430531732418525
1544,0.40372670807453415,0.19543973941368076,0.6557377049180328,0.14285714285714285,0.6521739130434783,0.0,0.44596912521440824
1545,0.2639751552795031,0.19543973941368076,0.8196721311475409,0.2142857142857143,1.0869565217391304,0.0,0.29159519725557465
1546,0.03105590062111801,0.0,0.3278688524590164,0.0,0.21739130434782608,0.0,0.017152658662092625
1547,0.27950310559006214,0.24429967426710097,0.4918032786885246,0.017857142857142856,0.6521739130434783,0.0,0.0686106346483705
1548,0.40372670807453415,0.37459283387622155,0.4918032786885246,0.33928571428571425,0.6521739130434783,0.0,0.3773584905660377
1549,0.04658385093167702,0.0,0.4918032786885246,0.0,0.6521739130434783,0.0,0.051457975986277875
1550,0.03105590062111801,0.0,0.3278688524590164,0.0,0.43478260869565216,0.0,0.03430531732418525
1551,0.04658385093167702,0.0,0.4918032786885246,0.0,0.43478260869565216,0.0,0.03430531732418525
1552,0.6211180124223602,0.5700325732899023,0.8196721311475409,0.625,1.0869565217391304,0.0,0.6861063464837049
1553,0.7763975155279502,0.732899022801303,0.8196721311475409,0.8035714285714286,1.0869565217391304,0.0,0.8576329331046312
1554,0.9937888198757763,0.8957654723127035,1.4754098360655736,0.875,0.6521739130434783,0.0,0.8919382504288165
1555,0.2950310559006211,0.26058631921824105,0.4918032786885246,0.2857142857142857,0.6521739130434783,0.0,0.3259005145797599
1556,0.04658385093167702,0.0,0.4918032786885246,0.0,0.6521739130434783,0.0,0.051457975986277875
1557,0.32608695652173914,0.2931596091205212,0.4918032786885246,0.03571428571428571,0.0,0.0,0.03430531732418525
1558,0.04658385093167702,0.0,0.4918032786885246,0.0,0.21739130434782608,0.0,0.017152658662092625
1559,0.04658385093167702,0.0,0.4918032786885246,0.0,0.6521739130434783,0.0,0.051457975986277875
1560,0.2950310559006211,0.2768729641693811,0.3278688524590164,0.30357142857142855,0.43478260869565216,0.0,0.3259005145797599
1561,0.5590062111801243,0.5374592833876222,0.4918032786885246,0.375,0.21739130434782608,0.0,0.3773584905660377
1562,0.5900621118012422,0.5211726384364821,0.9836065573770492,0.07142857142857142,0.21739130434782608,0.0,0.08576329331046312
1563,0.09316770186335405,0.08143322475570033,0.1639344262295082,0.08928571428571427,0.21739130434782608,0.0,0.10291595197255575
1564,0.1863354037267081,0.11400651465798045,0.8196721311475409,0.017857142857142856,0.43478260869565216,0.0,0.051457975986277875
1565,0.8385093167701864,0.7980456026058631,0.8196721311475409,0.03571428571428571,0.0,0.0,0.03430531732418525
1566,0.4813664596273292,0.4560260586319218,0.4918032786885246,0.25,0.0,0.0036363636363636364,0.24013722126929674
1567,0.03105590062111801,0.0,0.3278688524590164,0.0,0.43478260869565216,0.04727272727272727,0.03430531732418525
1568,0.4813664596273292,0.4560260586319218,0.4918032786885246,0.48214285714285715,0.6521739130434783,0.0,0.5145797598627787
1569,0.24844720496894407,0.19543973941368076,0.6557377049180328,0.017857142857142856,0.6521739130434783,0.0,0.017152658662092625
